data,SAO FRANCISCO ALTO-Cana-de-acucar,SAO FRANCISCO SUBMEDIO-Cana-de-acucar,SAO FRANCISCO SUBMEDIO-Manga,SAO FRANCISCO SUBMEDIO-Melancia,SAO FRANCISCO SUBMEDIO-Cebola,SAO FRANCISCO SUBMEDIO-Banana,SAO FRANCISCO SUBMEDIO-Goiaba,SAO FRANCISCO SUBMEDIO-Uva,SAO FRANCISCO MEDIO-Cana-de-acucar,SAO FRANCISCO MEDIO-Soja,SAO FRANCISCO MEDIO-Banana,SAO FRANCISCO MEDIO-Feijao,SAO FRANCISCO MEDIO-Algodao,SAO FRANCISCO MEDIO-Milho,SAO FRANCISCO MEDIO-Cafe
4/1/2005,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2005,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2005,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2005,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2005,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2005,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2005,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2005,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2005,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2006,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2006,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2006,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2006,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2006,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2006,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2006,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2006,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2006,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2006,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2006,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2006,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2007,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2007,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2007,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2007,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2007,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2007,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2007,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2007,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2007,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2007,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2007,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2007,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2008,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2008,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2008,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2008,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2008,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2008,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2008,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2008,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2008,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2008,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2008,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2008,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2009,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2009,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2009,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2009,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2009,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2009,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2009,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2009,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2009,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2009,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2009,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2009,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2010,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2010,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2010,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2010,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2010,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2010,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2010,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2010,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2010,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2010,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2010,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2010,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2011,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2011,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2011,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2011,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2011,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2011,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2011,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2011,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2011,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2011,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2011,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2011,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2012,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2012,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2012,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2012,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2012,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2012,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2012,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2012,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2012,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2012,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2012,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2012,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2013,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2013,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2013,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2013,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2013,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2013,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2013,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2013,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2013,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2013,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2013,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2013,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2014,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2014,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2014,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2014,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2014,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2014,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2014,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2014,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2014,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2014,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2014,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2014,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2015,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2015,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2015,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2015,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2015,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2015,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2015,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2015,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2015,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2015,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2015,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2015,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2016,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2016,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2016,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2016,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2016,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2016,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2016,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2016,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2016,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2016,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2016,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2016,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
1/1/2017,31316,8350,8782,12652,9382,3663,2311,1217,27094,49672,11638,25680,12926,28351,8470
2/1/2017,31316,8350,8782,14890,10829,3663,2311,1517,27094,47142,11638,18021,22351,27474,8470
3/1/2017,31316,8350,8782,16280,12330,3663,2311,2243,27094,69866,11638,17050,20573,14834,8470
4/1/2017,31316,8350,8782,16626,11756,3663,2311,3652,27094,54539,11638,21246,15526,13266,8470
5/1/2017,31316,8350,8782,10802,11356,3663,2311,3930,27094,57430,11638,22861,13290,13196,8470
6/1/2017,31316,8350,8782,8203,10536,3663,2311,4431,27094,22131,11638,20425,11771,13782,8470
7/1/2017,31316,8350,8782,9674,7124,3663,2311,4254,27094,7895,11638,13703,12357,8080,8470
8/1/2017,31316,8350,8782,14005,5086,3663,2311,3911,27094,7695,11638,10878,14316,10605,8470
9/1/2017,31316,8350,8782,15598,4676,3663,2311,3602,27094,11704,11638,9526,9742,16015,8470
10/1/2017,31316,8350,8782,15960,4038,3663,2311,2920,27094,9847,11638,10448,11545,31617,8470
11/1/2017,31316,8350,8782,13099,4749,3663,2311,1763,27094,9685,11638,14608,12800,34606,8470
12/1/2017,31316,8350,8782,8422,7707,3663,2311,1642,27094,0,11638,19366,12612,34682,8470
